#    L    TT             EE             BB             TE             PP             TP             EP          
    36    0.11592E+04    0.39922E-01    0.00000E+00    0.19362E+01    0.14066E-06    0.10646E-02   -0.95878E-06
    37    0.11767E+04    0.43838E-01    0.00000E+00    0.19142E+01    0.14054E-06    0.10401E-02   -0.11079E-05
    38    0.11944E+04    0.47995E-01    0.00000E+00    0.18816E+01    0.14037E-06    0.10164E-02   -0.12122E-05
    39    0.12124E+04    0.52393E-01    0.00000E+00    0.18383E+01    0.14016E-06    0.99360E-03   -0.12646E-05
    40    0.12305E+04    0.57034E-01    0.00000E+00    0.17839E+01    0.13992E-06    0.97151E-03   -0.12661E-05
    41    0.12489E+04    0.61928E-01    0.00000E+00    0.17180E+01    0.13964E-06    0.95013E-03   -0.12212E-05
    42    0.12674E+04    0.67090E-01    0.00000E+00    0.16400E+01    0.13932E-06    0.92945E-03   -0.11489E-05
    43    0.12861E+04    0.72532E-01    0.00000E+00    0.15492E+01    0.13898E-06    0.90947E-03   -0.10716E-05
    44    0.13047E+04    0.78254E-01    0.00000E+00    0.14460E+01    0.13860E-06    0.89019E-03   -0.10117E-05
    45    0.13238E+04    0.84266E-01    0.00000E+00    0.13307E+01    0.13820E-06    0.87162E-03   -0.99150E-06
    46    0.13430E+04    0.90576E-01    0.00000E+00    0.12018E+01    0.13777E-06    0.85374E-03   -0.10258E-05
    47    0.13624E+04    0.97178E-01    0.00000E+00    0.10600E+01    0.13732E-06    0.83651E-03   -0.10991E-05
    48    0.13818E+04    0.10407E+00    0.00000E+00    0.90944E+00    0.13685E-06    0.81988E-03   -0.11885E-05
    49    0.14013E+04    0.11122E+00    0.00000E+00    0.75350E+00    0.13636E-06    0.80377E-03   -0.12709E-05
    50    0.14213E+04    0.11860E+00    0.00000E+00    0.58885E+00    0.13585E-06    0.78814E-03   -0.13237E-05
    51    0.14414E+04    0.12618E+00    0.00000E+00    0.41074E+00    0.13532E-06    0.77294E-03   -0.13305E-05
    52    0.14620E+04    0.13403E+00    0.00000E+00    0.21445E+00    0.13478E-06    0.75817E-03   -0.13021E-05
    53    0.14825E+04    0.14232E+00    0.00000E+00   -0.29051E-02    0.13422E-06    0.74383E-03   -0.12557E-05
    54    0.15030E+04    0.15104E+00    0.00000E+00   -0.23624E+00    0.13365E-06    0.72994E-03   -0.12085E-05
    55    0.15236E+04    0.16018E+00    0.00000E+00   -0.48035E+00    0.13306E-06    0.71651E-03   -0.11776E-05
    56    0.15446E+04    0.16959E+00    0.00000E+00   -0.73630E+00    0.13246E-06    0.70354E-03   -0.11758E-05
    57    0.15658E+04    0.17916E+00    0.00000E+00   -0.10040E+01    0.13186E-06    0.69100E-03   -0.11988E-05
    58    0.15873E+04    0.18890E+00    0.00000E+00   -0.12842E+01    0.13124E-06    0.67886E-03   -0.12377E-05
    59    0.16090E+04    0.19885E+00    0.00000E+00   -0.15778E+01    0.13061E-06    0.66709E-03   -0.12838E-05
    60    0.16309E+04    0.20906E+00    0.00000E+00   -0.18841E+01    0.12998E-06    0.65565E-03   -0.13284E-05
    61    0.16532E+04    0.21961E+00    0.00000E+00   -0.22024E+01    0.12934E-06    0.64451E-03   -0.13642E-05
    62    0.16754E+04    0.23051E+00    0.00000E+00   -0.25337E+01    0.12869E-06    0.63366E-03   -0.13900E-05
    63    0.16977E+04    0.24169E+00    0.00000E+00   -0.28788E+01    0.12804E-06    0.62309E-03   -0.14060E-05
    64    0.17204E+04    0.25319E+00    0.00000E+00   -0.32390E+01    0.12738E-06    0.61279E-03   -0.14124E-05
    65    0.17431E+04    0.26497E+00    0.00000E+00   -0.36149E+01    0.12671E-06    0.60275E-03   -0.14095E-05
    66    0.17661E+04    0.27697E+00    0.00000E+00   -0.40046E+01    0.12604E-06    0.59296E-03   -0.13981E-05
    67    0.17892E+04    0.28918E+00    0.00000E+00   -0.44057E+01    0.12537E-06    0.58342E-03   -0.13819E-05
    68    0.18127E+04    0.30165E+00    0.00000E+00   -0.48167E+01    0.12469E-06    0.57412E-03   -0.13654E-05
    69    0.18364E+04    0.31435E+00    0.00000E+00   -0.52364E+01    0.12401E-06    0.56506E-03   -0.13529E-05
    70    0.18604E+04    0.32730E+00    0.00000E+00   -0.56665E+01    0.12333E-06    0.55623E-03   -0.13489E-05
    71    0.18847E+04    0.34050E+00    0.00000E+00   -0.61099E+01    0.12264E-06    0.54763E-03   -0.13563E-05
    72    0.19091E+04    0.35393E+00    0.00000E+00   -0.65674E+01    0.12196E-06    0.53926E-03   -0.13727E-05
    73    0.19337E+04    0.36754E+00    0.00000E+00   -0.70394E+01    0.12127E-06    0.53111E-03   -0.13941E-05
    74    0.19585E+04    0.38132E+00    0.00000E+00   -0.75245E+01    0.12058E-06    0.52318E-03   -0.14169E-05
    75    0.19835E+04    0.39529E+00    0.00000E+00   -0.80210E+01    0.11989E-06    0.51547E-03   -0.14370E-05
    76    0.20088E+04    0.40945E+00    0.00000E+00   -0.85278E+01    0.11920E-06    0.50797E-03   -0.14514E-05
    77    0.20343E+04    0.42378E+00    0.00000E+00   -0.90447E+01    0.11851E-06    0.50067E-03   -0.14598E-05
    78    0.20602E+04    0.43831E+00    0.00000E+00   -0.95734E+01    0.11783E-06    0.49354E-03   -0.14627E-05
    79    0.20863E+04    0.45298E+00    0.00000E+00   -0.10110E+02    0.11714E-06    0.48658E-03   -0.14604E-05
    80    0.21127E+04    0.46780E+00    0.00000E+00   -0.10656E+02    0.11645E-06    0.47975E-03   -0.14535E-05
    81    0.21392E+04    0.48273E+00    0.00000E+00   -0.11213E+02    0.11576E-06    0.47306E-03   -0.14428E-05
    82    0.21661E+04    0.49777E+00    0.00000E+00   -0.11778E+02    0.11508E-06    0.46649E-03   -0.14305E-05
    83    0.21931E+04    0.51290E+00    0.00000E+00   -0.12353E+02    0.11440E-06    0.46007E-03   -0.14195E-05
    84    0.22205E+04    0.52813E+00    0.00000E+00   -0.12935E+02    0.11371E-06    0.45380E-03   -0.14123E-05
    85    0.22479E+04    0.54342E+00    0.00000E+00   -0.13526E+02    0.11303E-06    0.44769E-03   -0.14116E-05
    86    0.22756E+04    0.55878E+00    0.00000E+00   -0.14125E+02    0.11236E-06    0.44174E-03   -0.14194E-05
    87    0.23038E+04    0.57420E+00    0.00000E+00   -0.14731E+02    0.11168E-06    0.43595E-03   -0.14339E-05
    88    0.23319E+04    0.58967E+00    0.00000E+00   -0.15343E+02    0.11101E-06    0.43030E-03   -0.14526E-05
    89    0.23604E+04    0.60519E+00    0.00000E+00   -0.15964E+02    0.11033E-06    0.42478E-03   -0.14730E-05
    90    0.23892E+04    0.62072E+00    0.00000E+00   -0.16589E+02    0.10966E-06    0.41938E-03   -0.14926E-05
    91    0.24181E+04    0.63624E+00    0.00000E+00   -0.17221E+02    0.10900E-06    0.41408E-03   -0.15093E-05
    92    0.24472E+04    0.65176E+00    0.00000E+00   -0.17857E+02    0.10834E-06    0.40888E-03   -0.15229E-05
    93    0.24767E+04    0.66725E+00    0.00000E+00   -0.18499E+02    0.10768E-06    0.40379E-03   -0.15335E-05
    94    0.25063E+04    0.68268E+00    0.00000E+00   -0.19144E+02    0.10702E-06    0.39879E-03   -0.15413E-05
    95    0.25361E+04    0.69804E+00    0.00000E+00   -0.19793E+02    0.10637E-06    0.39389E-03   -0.15466E-05
    96    0.25660E+04    0.71334E+00    0.00000E+00   -0.20446E+02    0.10572E-06    0.38908E-03   -0.15495E-05
    97    0.25963E+04    0.72854E+00    0.00000E+00   -0.21101E+02    0.10507E-06    0.38436E-03   -0.15502E-05
    98    0.26268E+04    0.74365E+00    0.00000E+00   -0.21758E+02    0.10443E-06    0.37974E-03   -0.15489E-05
    99    0.26574E+04    0.75862E+00    0.00000E+00   -0.22418E+02    0.10379E-06    0.37520E-03   -0.15459E-05
   100    0.26883E+04    0.77346E+00    0.00000E+00   -0.23077E+02    0.10315E-06    0.37075E-03   -0.15412E-05
   101    0.27194E+04    0.78822E+00    0.00000E+00   -0.23738E+02    0.10252E-06    0.36638E-03   -0.15351E-05
   102    0.27509E+04    0.80276E+00    0.00000E+00   -0.24400E+02    0.10189E-06    0.36210E-03   -0.15278E-05
   103    0.27824E+04    0.81714E+00    0.00000E+00   -0.25062E+02    0.10126E-06    0.35789E-03   -0.15194E-05
   104    0.28141E+04    0.83138E+00    0.00000E+00   -0.25722E+02    0.10064E-06    0.35377E-03   -0.15102E-05
   105    0.28460E+04    0.84539E+00    0.00000E+00   -0.26381E+02    0.10002E-06    0.34972E-03   -0.15003E-05
   106    0.28781E+04    0.85925E+00    0.00000E+00   -0.27039E+02    0.99406E-07    0.34574E-03   -0.14900E-05
   107    0.29101E+04    0.87281E+00    0.00000E+00   -0.27694E+02    0.98796E-07    0.34184E-03   -0.14794E-05
   108    0.29425E+04    0.88614E+00    0.00000E+00   -0.28347E+02    0.98189E-07    0.33800E-03   -0.14687E-05
   109    0.29750E+04    0.89918E+00    0.00000E+00   -0.28996E+02    0.97586E-07    0.33424E-03   -0.14582E-05
   110    0.30077E+04    0.91191E+00    0.00000E+00   -0.29640E+02    0.96988E-07    0.33054E-03   -0.14479E-05
   111    0.30404E+04    0.92442E+00    0.00000E+00   -0.30281E+02    0.96393E-07    0.32691E-03   -0.14381E-05
   112    0.30733E+04    0.93663E+00    0.00000E+00   -0.30917E+02    0.95803E-07    0.32335E-03   -0.14287E-05
   113    0.31065E+04    0.94854E+00    0.00000E+00   -0.31548E+02    0.95216E-07    0.31984E-03   -0.14197E-05
   114    0.31397E+04    0.96007E+00    0.00000E+00   -0.32172E+02    0.94634E-07    0.31640E-03   -0.14112E-05
   115    0.31731E+04    0.97138E+00    0.00000E+00   -0.32789E+02    0.94056E-07    0.31301E-03   -0.14029E-05
   116    0.32066E+04    0.98223E+00    0.00000E+00   -0.33399E+02    0.93481E-07    0.30969E-03   -0.13949E-05
   117    0.32403E+04    0.99271E+00    0.00000E+00   -0.34001E+02    0.92911E-07    0.30642E-03   -0.13872E-05
   118    0.32742E+04    0.10030E+01    0.00000E+00   -0.34595E+02    0.92345E-07    0.30320E-03   -0.13796E-05
   119    0.33081E+04    0.10128E+01    0.00000E+00   -0.35180E+02    0.91784E-07    0.30004E-03   -0.13723E-05
   120    0.33421E+04    0.10222E+01    0.00000E+00   -0.35755E+02    0.91226E-07    0.29694E-03   -0.13651E-05
   121    0.33762E+04    0.10313E+01    0.00000E+00   -0.36320E+02    0.90672E-07    0.29388E-03   -0.13579E-05
   122    0.34103E+04    0.10399E+01    0.00000E+00   -0.36874E+02    0.90123E-07    0.29088E-03   -0.13508E-05
   123    0.34445E+04    0.10481E+01    0.00000E+00   -0.37418E+02    0.89577E-07    0.28793E-03   -0.13437E-05
   124    0.34788E+04    0.10558E+01    0.00000E+00   -0.37949E+02    0.89036E-07    0.28502E-03   -0.13366E-05
   125    0.35131E+04    0.10631E+01    0.00000E+00   -0.38468E+02    0.88498E-07    0.28216E-03   -0.13294E-05
   126    0.35474E+04    0.10701E+01    0.00000E+00   -0.38975E+02    0.87965E-07    0.27935E-03   -0.13221E-05
   127    0.35818E+04    0.10765E+01    0.00000E+00   -0.39468E+02    0.87436E-07    0.27658E-03   -0.13147E-05
   128    0.36162E+04    0.10825E+01    0.00000E+00   -0.39949E+02    0.86911E-07    0.27385E-03   -0.13070E-05
   129    0.36507E+04    0.10880E+01    0.00000E+00   -0.40414E+02    0.86390E-07    0.27117E-03   -0.12992E-05
   130    0.36851E+04    0.10930E+01    0.00000E+00   -0.40865E+02    0.85873E-07    0.26852E-03   -0.12910E-05
   131    0.37196E+04    0.10976E+01    0.00000E+00   -0.41301E+02    0.85361E-07    0.26592E-03   -0.12826E-05
   132    0.37541E+04    0.11017E+01    0.00000E+00   -0.41721E+02    0.84852E-07    0.26335E-03   -0.12738E-05
   133    0.37886E+04    0.11053E+01    0.00000E+00   -0.42127E+02    0.84348E-07    0.26082E-03   -0.12648E-05
   134    0.38231E+04    0.11085E+01    0.00000E+00   -0.42513E+02    0.83847E-07    0.25833E-03   -0.12556E-05
   135    0.38576E+04    0.11111E+01    0.00000E+00   -0.42884E+02    0.83351E-07    0.25587E-03   -0.12461E-05
   136    0.38919E+04    0.11132E+01    0.00000E+00   -0.43235E+02    0.82858E-07    0.25345E-03   -0.12363E-05
   137    0.39263E+04    0.11149E+01    0.00000E+00   -0.43568E+02    0.82370E-07    0.25106E-03   -0.12264E-05
   138    0.39606E+04    0.11160E+01    0.00000E+00   -0.43882E+02    0.81885E-07    0.24871E-03   -0.12163E-05
   139    0.39947E+04    0.11167E+01    0.00000E+00   -0.44177E+02    0.81404E-07    0.24639E-03   -0.12060E-05
   140    0.40288E+04    0.11169E+01    0.00000E+00   -0.44453E+02    0.80928E-07    0.24410E-03   -0.11956E-05
   141    0.40628E+04    0.11165E+01    0.00000E+00   -0.44708E+02    0.80455E-07    0.24184E-03   -0.11851E-05
   142    0.40967E+04    0.11156E+01    0.00000E+00   -0.44943E+02    0.79985E-07    0.23962E-03   -0.11744E-05
   143    0.41306E+04    0.11143E+01    0.00000E+00   -0.45157E+02    0.79520E-07    0.23742E-03   -0.11637E-05
   144    0.41643E+04    0.11125E+01    0.00000E+00   -0.45351E+02    0.79058E-07    0.23526E-03   -0.11529E-05
   145    0.41978E+04    0.11103E+01    0.00000E+00   -0.45522E+02    0.78601E-07    0.23312E-03   -0.11420E-05
   146    0.42315E+04    0.11075E+01    0.00000E+00   -0.45672E+02    0.78146E-07    0.23102E-03   -0.11311E-05
   147    0.42647E+04    0.11043E+01    0.00000E+00   -0.45799E+02    0.77696E-07    0.22894E-03   -0.11202E-05
   148    0.42979E+04    0.11005E+01    0.00000E+00   -0.45904E+02    0.77249E-07    0.22688E-03   -0.11093E-05
   149    0.43309E+04    0.10964E+01    0.00000E+00   -0.45986E+02    0.76806E-07    0.22485E-03   -0.10984E-05
   150    0.43637E+04    0.10918E+01    0.00000E+00   -0.46042E+02    0.76367E-07    0.22285E-03   -0.10875E-05
   151    0.43964E+04    0.10868E+01    0.00000E+00   -0.46076E+02    0.75931E-07    0.22087E-03   -0.10767E-05
   152    0.44287E+04    0.10812E+01    0.00000E+00   -0.46086E+02    0.75498E-07    0.21892E-03   -0.10659E-05
   153    0.44609E+04    0.10753E+01    0.00000E+00   -0.46070E+02    0.75069E-07    0.21699E-03   -0.10552E-05
   154    0.44929E+04    0.10690E+01    0.00000E+00   -0.46030E+02    0.74644E-07    0.21508E-03   -0.10445E-05
   155    0.45247E+04    0.10623E+01    0.00000E+00   -0.45966E+02    0.74222E-07    0.21320E-03   -0.10338E-05
   156    0.45562E+04    0.10552E+01    0.00000E+00   -0.45876E+02    0.73804E-07    0.21134E-03   -0.10231E-05
   157    0.45875E+04    0.10477E+01    0.00000E+00   -0.45760E+02    0.73389E-07    0.20950E-03   -0.10124E-05
   158    0.46186E+04    0.10400E+01    0.00000E+00   -0.45619E+02    0.72978E-07    0.20768E-03   -0.10016E-05
   159    0.46493E+04    0.10318E+01    0.00000E+00   -0.45452E+02    0.72569E-07    0.20589E-03   -0.99083E-06
   160    0.46799E+04    0.10232E+01    0.00000E+00   -0.45258E+02    0.72165E-07    0.20411E-03   -0.98000E-06
   161    0.47102E+04    0.10145E+01    0.00000E+00   -0.45039E+02    0.71763E-07    0.20236E-03   -0.96912E-06
   162    0.47402E+04    0.10054E+01    0.00000E+00   -0.44794E+02    0.71365E-07    0.20063E-03   -0.95816E-06
   163    0.47700E+04    0.99592E+00    0.00000E+00   -0.44521E+02    0.70970E-07    0.19892E-03   -0.94712E-06
   164    0.47994E+04    0.98626E+00    0.00000E+00   -0.44223E+02    0.70579E-07    0.19722E-03   -0.93599E-06
   165    0.48286E+04    0.97629E+00    0.00000E+00   -0.43897E+02    0.70190E-07    0.19555E-03   -0.92476E-06
   166    0.48576E+04    0.96617E+00    0.00000E+00   -0.43545E+02    0.69805E-07    0.19389E-03   -0.91341E-06
   167    0.48862E+04    0.95567E+00    0.00000E+00   -0.43167E+02    0.69423E-07    0.19226E-03   -0.90194E-06
   168    0.49145E+04    0.94516E+00    0.00000E+00   -0.42761E+02    0.69045E-07    0.19064E-03   -0.89033E-06
   169    0.49424E+04    0.93435E+00    0.00000E+00   -0.42327E+02    0.68669E-07    0.18904E-03   -0.87856E-06
   170    0.49700E+04    0.92346E+00    0.00000E+00   -0.41866E+02    0.68296E-07    0.18746E-03   -0.86664E-06
   171    0.49971E+04    0.91249E+00    0.00000E+00   -0.41376E+02    0.67927E-07    0.18589E-03   -0.85455E-06
   172    0.50238E+04    0.90137E+00    0.00000E+00   -0.40859E+02    0.67561E-07    0.18435E-03   -0.84227E-06
   173    0.50501E+04    0.89010E+00    0.00000E+00   -0.40315E+02    0.67197E-07    0.18281E-03   -0.82980E-06
   174    0.50761E+04    0.87897E+00    0.00000E+00   -0.39743E+02    0.66837E-07    0.18130E-03   -0.81712E-06
   175    0.51016E+04    0.86769E+00    0.00000E+00   -0.39143E+02    0.66480E-07    0.17980E-03   -0.80422E-06
   176    0.51266E+04    0.85648E+00    0.00000E+00   -0.38515E+02    0.66125E-07    0.17831E-03   -0.79110E-06
   177    0.51512E+04    0.84526E+00    0.00000E+00   -0.37860E+02    0.65774E-07    0.17684E-03   -0.77776E-06
   178    0.51753E+04    0.83427E+00    0.00000E+00   -0.37177E+02    0.65425E-07    0.17539E-03   -0.76421E-06
   179    0.51990E+04    0.82320E+00    0.00000E+00   -0.36466E+02    0.65080E-07    0.17395E-03   -0.75046E-06
   180    0.52223E+04    0.81228E+00    0.00000E+00   -0.35728E+02    0.64737E-07    0.17252E-03   -0.73652E-06
   181    0.52451E+04    0.80150E+00    0.00000E+00   -0.34964E+02    0.64397E-07    0.17111E-03   -0.72240E-06
   182    0.52674E+04    0.79095E+00    0.00000E+00   -0.34171E+02    0.64060E-07    0.16971E-03   -0.70811E-06
   183    0.52892E+04    0.78054E+00    0.00000E+00   -0.33352E+02    0.63725E-07    0.16833E-03   -0.69366E-06
   184    0.53106E+04    0.77036E+00    0.00000E+00   -0.32505E+02    0.63394E-07    0.16696E-03   -0.67905E-06
   185    0.53315E+04    0.76055E+00    0.00000E+00   -0.31634E+02    0.63065E-07    0.16560E-03   -0.66431E-06
   186    0.53516E+04    0.75097E+00    0.00000E+00   -0.30734E+02    0.62739E-07    0.16426E-03   -0.64943E-06
   187    0.53715E+04    0.74177E+00    0.00000E+00   -0.29807E+02    0.62415E-07    0.16292E-03   -0.63442E-06
   188    0.53909E+04    0.73292E+00    0.00000E+00   -0.28856E+02    0.62094E-07    0.16161E-03   -0.61931E-06
   189    0.54096E+04    0.72447E+00    0.00000E+00   -0.27877E+02    0.61776E-07    0.16030E-03   -0.60409E-06
   190    0.54282E+04    0.71646E+00    0.00000E+00   -0.26875E+02    0.61460E-07    0.15901E-03   -0.58877E-06
   191    0.54459E+04    0.70893E+00    0.00000E+00   -0.25845E+02    0.61147E-07    0.15772E-03   -0.57337E-06
   192    0.54632E+04    0.70189E+00    0.00000E+00   -0.24790E+02    0.60836E-07    0.15645E-03   -0.55789E-06
   193    0.54799E+04    0.69539E+00    0.00000E+00   -0.23712E+02    0.60528E-07    0.15519E-03   -0.54235E-06
   194    0.54962E+04    0.68946E+00    0.00000E+00   -0.22607E+02    0.60222E-07    0.15395E-03   -0.52675E-06
   195    0.55119E+04    0.68413E+00    0.00000E+00   -0.21479E+02    0.59919E-07    0.15271E-03   -0.51110E-06
   196    0.55269E+04    0.67945E+00    0.00000E+00   -0.20327E+02    0.59619E-07    0.15148E-03   -0.49542E-06
   197    0.55416E+04    0.67546E+00    0.00000E+00   -0.19152E+02    0.59320E-07    0.15027E-03   -0.47971E-06
   198    0.55557E+04    0.67218E+00    0.00000E+00   -0.17954E+02    0.59024E-07    0.14906E-03   -0.46398E-06
   199    0.55692E+04    0.66964E+00    0.00000E+00   -0.16733E+02    0.58731E-07    0.14787E-03   -0.44824E-06
   200    0.55823E+04    0.66789E+00    0.00000E+00   -0.15490E+02    0.58439E-07    0.14668E-03   -0.43251E-06
   201    0.55947E+04    0.66698E+00    0.00000E+00   -0.14224E+02    0.58150E-07    0.14551E-03   -0.41678E-06
   202    0.56066E+04    0.66691E+00    0.00000E+00   -0.12937E+02    0.57863E-07    0.14434E-03   -0.40106E-06
   203    0.56179E+04    0.66775E+00    0.00000E+00   -0.11627E+02    0.57579E-07    0.14319E-03   -0.38536E-06
   204    0.56285E+04    0.66953E+00    0.00000E+00   -0.10299E+02    0.57297E-07    0.14204E-03   -0.36967E-06
   205    0.56386E+04    0.67227E+00    0.00000E+00   -0.89498E+01    0.57017E-07    0.14091E-03   -0.35400E-06
   206    0.56480E+04    0.67603E+00    0.00000E+00   -0.75804E+01    0.56739E-07    0.13978E-03   -0.33834E-06
   207    0.56569E+04    0.68083E+00    0.00000E+00   -0.61916E+01    0.56463E-07    0.13866E-03   -0.32270E-06
   208    0.56650E+04    0.68671E+00    0.00000E+00   -0.47838E+01    0.56190E-07    0.13755E-03   -0.30708E-06
   209    0.56726E+04    0.69371E+00    0.00000E+00   -0.33574E+01    0.55918E-07    0.13645E-03   -0.29149E-06
   210    0.56795E+04    0.70187E+00    0.00000E+00   -0.19133E+01    0.55649E-07    0.13536E-03   -0.27591E-06
   211    0.56858E+04    0.71122E+00    0.00000E+00   -0.45156E+00    0.55382E-07    0.13428E-03   -0.26036E-06
   212    0.56914E+04    0.72180E+00    0.00000E+00    0.10268E+01    0.55117E-07    0.13320E-03   -0.24483E-06
   213    0.56964E+04    0.73365E+00    0.00000E+00    0.25219E+01    0.54854E-07    0.13214E-03   -0.22933E-06
   214    0.57008E+04    0.74676E+00    0.00000E+00    0.40325E+01    0.54593E-07    0.13108E-03   -0.21385E-06
   215    0.57045E+04    0.76133E+00    0.00000E+00    0.55578E+01    0.54334E-07    0.13003E-03   -0.19841E-06
   216    0.57076E+04    0.77717E+00    0.00000E+00    0.70984E+01    0.54077E-07    0.12899E-03   -0.18299E-06
   217    0.57102E+04    0.79444E+00    0.00000E+00    0.86522E+01    0.53822E-07    0.12796E-03   -0.16761E-06
   218    0.57120E+04    0.81313E+00    0.00000E+00    0.10219E+02    0.53569E-07    0.12694E-03   -0.15225E-06
   219    0.57133E+04    0.83326E+00    0.00000E+00    0.11801E+02    0.53318E-07    0.12593E-03   -0.13693E-06
   220    0.57139E+04    0.85497E+00    0.00000E+00    0.13393E+02    0.53069E-07    0.12492E-03   -0.12165E-06
   221    0.57140E+04    0.87818E+00    0.00000E+00    0.14997E+02    0.52822E-07    0.12392E-03   -0.10640E-06
   222    0.57135E+04    0.90304E+00    0.00000E+00    0.16611E+02    0.52577E-07    0.12293E-03   -0.91190E-07
   223    0.57122E+04    0.92948E+00    0.00000E+00    0.18237E+02    0.52334E-07    0.12195E-03   -0.76019E-07
   224    0.57104E+04    0.95751E+00    0.00000E+00    0.19870E+02    0.52092E-07    0.12097E-03   -0.60887E-07
   225    0.57080E+04    0.98726E+00    0.00000E+00    0.21515E+02    0.51853E-07    0.12000E-03   -0.45797E-07
   226    0.57049E+04    0.10187E+01    0.00000E+00    0.23166E+02    0.51615E-07    0.11904E-03   -0.30750E-07
   227    0.57012E+04    0.10520E+01    0.00000E+00    0.24825E+02    0.51379E-07    0.11809E-03   -0.15746E-07
   228    0.56970E+04    0.10869E+01    0.00000E+00    0.26492E+02    0.51144E-07    0.11715E-03   -0.78853E-09
   229    0.56921E+04    0.11237E+01    0.00000E+00    0.28163E+02    0.50912E-07    0.11621E-03    0.14123E-07
   230    0.56866E+04    0.11622E+01    0.00000E+00    0.29841E+02    0.50681E-07    0.11528E-03    0.28986E-07
